County,1964 – 1973,1973 – 2006,1997 – 2006
Beaverhead,0.64,0.83,0.88
Big Horn,0.55,0.79,0.88
Blaine,0.59,0.64,0.66
Broadwater,0.69,0.80,0.87
Carbon,0.58,0.67,0.71
Carter,0.38,0.55,0.54
Cascade,0.57,0.70,0.79
Chouteau,0.53,0.65,0.78
Custer,0.55,0.72,0.81
Daniels,0.0,0.0,0.0
Dawson,0.57,0.64,0.72
Deer Lodge,0.0,0.0,0.0
Fallon,0.48,0.48,0.48
Fergus,0.49,0.66,0.68
Flathead,0.88,0.95,0.97
Gallatin,0.74,0.92,0.99
Garfield,0.43,0.51,0.46
Glacier,0.60,0.74,0.74
Golden Valley,0.63,0.66,0.65
Granite,0.87,0.87,0.97
Hill,0.54,0.60,0.60
Jefferson,0.61,0.78,0.81
Judith Basin,0.49,0.68,0.69
Lake,0.55,0.69,0.69
Lewis & Clark,0.60,0.79,0.80
Liberty,0.55,0.66,0.64
Lincoln,0.47,0.56,0.59
Madison,0.65,0.79,0.83
McCone,0.44,0.55,0.61
Meagher,0.57,0.70,0.78
Mineral,0.56,0.63,0.64
Missoula,0.70,0.68,0.69
Musselshell,0.50,0.59,0.56
Park,0.57,0.66,0.68
Petroleum,0.44,0.50,0.43
Phillips,0.55,0.55,0.55
Pondera,0.71,0.81,0.84
Powder River,0.39,0.49,0.53
Powell,0.78,0.90,100.0%1
Prairie,0.60,0.74,0.84
Ravalli,0.80,0.89,0.96
Richland,0.56,0.73,0.88
Roosevelt,0.47,0.65,0.75
Rosebud,0.48,0.68,0.73
Sanders,0.59,0.69,0.63
Sheridan,0.45,0.69,0.81
Silver bow,0.69,0.90,0.94
Stillwater,0.47,0.63,0.73
Sweet Grass,0.45,0.54,0.49
Teton,0.69,0.80,0.88
Toole,0.52,0.67,0.71
Treasure,0.53,0.75,0.92
Valley,0.58,0.67,0.75
Wheatland,0.47,0.59,0.54
Wibaux,0.0,0.0,0.0
Yellowstone,0.60,0.71,0.78